ID_HDC_G0,CTR_MN_NM,UC_NM_MN,GCPNT_LAT,GCPNT_LON,region,sub-region,intermediate-region
7261,India,Vita [IND],17.27610658920517,74.54068691402911,Asia,Southern Asia,Southern Asia
10219,Myanmar,Tamya [MMR],17.257356960959005,95.58814584136037,Asia,South-eastern Asia,South-eastern Asia
8479,India,Khammam [IND],17.251412108776343,80.16429438226652,Asia,Southern Asia,Southern Asia
9029,India,Tondangi [IND],17.241351756181,82.5245779006087,Asia,Southern Asia,Southern Asia
10304,Myanmar,Thitchadaung [MMR],17.214764688020214,97.23406500413475,Asia,South-eastern Asia,South-eastern Asia
8641,India,Sathupalle [IND],17.209800188320497,80.83027334810116,Asia,Southern Asia,Southern Asia
10298,Myanmar,Winpyan [MMR],17.203648079802687,97.13127844657863,Asia,South-eastern Asia,South-eastern Asia
7546,India,Indi [IND],17.172878315870935,75.95772499438459,Asia,Southern Asia,Southern Asia
10239,Myanmar,Yowa [MMR],17.171533037501128,95.97394545766339,Asia,South-eastern Asia,South-eastern Asia
7808,India,Sedam [IND],17.1677346245599,77.29398710635043,Asia,Southern Asia,Southern Asia
5493,Saudi Arabia,Sabya [SAU],17.15708433087059,42.643711617112274,Asia,Western Asia,Western Asia
8969,India,Pithapuram [IND],17.15621295352862,82.2796712427348,Asia,Southern Asia,Southern Asia
8360,India,Suryapet [IND],17.14139977749342,79.62055589197477,Asia,Southern Asia,Southern Asia
7737,India,Shahabad [IND],17.138930958653205,76.93975063700758,Asia,Southern Asia,Southern Asia
8758,India,Zangareddigudem [IND],17.123295396613234,81.29277060069668,Asia,Southern Asia,Southern Asia
8601,India,Tiruvuru [IND],17.11012899660096,80.60790384007205,Asia,Southern Asia,Southern Asia
10198,Myanmar,Thetkegon [MMR],17.100071569375643,95.18686072446627,Asia,South-eastern Asia,South-eastern Asia
5506,Saudi Arabia,Tahiriyah [SAU],17.11012899660096,42.77457713683921,Asia,Western Asia,Western Asia
10245,Myanmar,Yetho [MMR],17.10372879165318,96.03849507574549,Asia,South-eastern Asia,South-eastern Asia
8962,India,Pitapuram [IND],17.11150048001479,82.2465672448157,Asia,Southern Asia,Southern Asia
10254,Myanmar,Dayebo [MMR],17.096414374502693,96.21628634382081,Asia,South-eastern Asia,South-eastern Asia
7091,India,Devrukh [IND],17.08064303537597,73.60548039835723,Asia,Southern Asia,Southern Asia
8285,India,Nalgonda [IND],17.064615076374196,79.26877796422413,Asia,Southern Asia,Southern Asia
5926,Oman,Halut [OMN],17.05370558959333,54.157216560565374,Asia,Western Asia,Western Asia
5562,Yemen,Az Zaylah al Ulya [YEM],17.064872205259665,43.59621394105388,Asia,Western Asia,Western Asia
7753,India,Shahabad [IND],17.05856401561779,76.98673689348153,Asia,Southern Asia,Southern Asia
8029,India,Farooqnagar [IND],17.068986285811892,78.20428926121477,Asia,Southern Asia,Southern Asia
8690,India,Chintalapudi [IND],17.070357653687307,80.9837007277854,Asia,Southern Asia,Southern Asia
8930,India,Samalkot [IND],17.078585941723105,82.13384574047757,Asia,Southern Asia,Southern Asia
7213,India,Uranislampur [IND],17.056187037719354,74.2632055760412,Asia,Southern Asia,Southern Asia
7415,India,Jath [IND],17.05355866213828,75.21334641895348,Asia,Southern Asia,Southern Asia
10225,Myanmar,Yandoon [MMR],17.04567362006925,95.64329846048435,Asia,South-eastern Asia,South-eastern Asia
8943,India,Samalkot [IND],17.041951532524394,82.15261988149977,Asia,Southern Asia,Southern Asia
10174,Myanmar,Myaukpan-gon [MMR],17.044302321366924,94.77260672264163,Asia,South-eastern Asia,South-eastern Asia
7291,India,Tasgaon [IND],17.03058954546736,74.60796688040564,Asia,Southern Asia,Southern Asia
5568,Yemen,Al Khafji [YEM],17.015505935043823,43.68141219388377,Asia,Western Asia,Western Asia
8863,India,Rajahmundry [IND],17.006835705964345,81.79643935782802,Asia,Southern Asia,Southern Asia
202,Mexico,Oaxaca de Juarez [MEX],17.065215043983883,-96.73268270548132,Americas,Latin America and the Caribbean,Central America
7343,India,Kuchi [IND],17.011392303609323,74.86137740526513,Asia,Southern Asia,Southern Asia
7712,India,Jevargi [IND],17.01303775204476,76.77546952319965,Asia,Southern Asia,Southern Asia
5925,Oman,Salahah (Salalah) [OMN],17.014500377508394,54.06725725788734,Asia,Western Asia,Western Asia
8455,India,Kodad [IND],16.998023239539865,79.9715523368983,Asia,Southern Asia,Southern Asia
7037,India,Ratnagiri [IND],16.99692394277503,73.3170962213579,Asia,Southern Asia,Southern Asia
5509,Saudi Arabia,Abu 'Aris [SAU],16.96852598418659,42.8331230322761,Asia,Western Asia,Western Asia
10215,Myanmar,Minze [MMR],16.98553598092463,95.46044355416763,Asia,South-eastern Asia,South-eastern Asia
2649,Niger,Agadez [NER],16.96967027460272,7.986426635623206,Africa,Sub-Saharan Africa,Western Africa
10317,Myanmar,Thaton [MMR],16.92090111942265,97.36941341660204,Asia,South-eastern Asia,South-eastern Asia
8964,India,Kakinada [IND],16.971046731132073,82.24402125771614,Asia,Southern Asia,Southern Asia
325,Guatemala,San Benito [GTM],16.916788278707248,-89.90821859045604,Americas,Latin America and the Caribbean,Central America
7606,India,Sindgi [IND],16.91432059072674,76.22961612620585,Asia,Southern Asia,Southern Asia
5573,Yemen,Sa'Dah [YEM],16.93694152580878,43.74240294715935,Asia,Western Asia,Western Asia
8842,India,Nidadavole [IND],16.90170815585244,81.67011067931413,Asia,Southern Asia,Southern Asia
10276,Myanmar,Kayan [MMR],16.90582087096806,96.56309231104363,Asia,South-eastern Asia,South-eastern Asia
8437,India,Huzurnagar [IND],16.899309087844436,79.87381651395955,Asia,Southern Asia,Southern Asia
10202,Myanmar,Tantabin [MMR],16.89348282830994,95.17669288637839,Asia,South-eastern Asia,South-eastern Asia
1450,Cape Verde,Mindelo [CPV],16.890055648896404,-24.984562505214306,Africa,Sub-Saharan Africa,Western Africa
10337,Myanmar,Kuzeik [MMR],16.873869137852704,97.62517689336357,Asia,South-eastern Asia,South-eastern Asia
7214,India,Kodoli [IND],16.864107775185484,74.21171275519065,Asia,Southern Asia,Southern Asia
8901,India,Mandapeta [IND],16.871549290401386,81.9256188824902,Asia,Southern Asia,Southern Asia
7096,India,Lanja [IND],16.859212102471695,73.54925764175945,Asia,Southern Asia,Southern Asia
8361,India,Miryalguda [IND],16.86724103111891,79.557425726787,Asia,Southern Asia,Southern Asia
10261,Myanmar,Theingyaung [MMR],16.84070689654793,96.27832027648509,Asia,South-eastern Asia,South-eastern Asia
7288,India,Sangli [IND],16.85660428095187,74.60409751250613,Asia,Southern Asia,Southern Asia
8927,India,Ramachandrapuram [IND],16.833167936563452,82.02482965907586,Asia,Southern Asia,Southern Asia
